"","intake","weightGain"
"1",1262.16628327,106.2566247
"2",1457.25196262,138.48876325
"3",1164.60273916,111.29277555
"4",1263.48580244,111.37879439
"5",1366.66291791,122.25153741
"6",1462.78166101,121.60560251
"7",1124.60458126,123.92212572
"8",1117.49841187,89.69093938
"9",1206.25501814,92.05358055
"10",1204.24645765,92.99212794
"11",1374.81998154,109.10645151
"12",1331.49906622,124.66058894
"13",1368.65449831,139.86847988
"14",1399.27330403,105.60675352
"15",1257.27023809,112.59071107
"16",1392.26173913,137.74487216
"17",1196.16370857,95.77729608
"18",1669.23866391,156.78301841
"19",1309.77481657,130.25857608
"20",1233.27083715,91.31222085
"21",1023.35842403,91.16683924
"22",1479.68025409,117.64085118
"23",990.48545779,84.59150749
"24",1419.12377308,139.49812567
"25",1217.2880167,109.51620924
"26",1188.90952992,118.68113322
"27",1493.19790321,149.90944209
"28",1723.02073757,169.99142817
"29",1354.94489259,128.45623128
